C1,C2,C3,ISO,Target
2436,188,872,NO,false
1858,0,193,AU,false
2400,0,826,AU,false
1526,0,962,AU,true
2174,0,845,AU,false
1592,0,398,AU,false
1992,0,969,AU,false
4332,0,831,AU,false
1038,0,71,AU,false
2135,0,871,AU,false
3542,0,908,AU,false
16392,0,418,AU,false
3323,355,782,GB,false
4423,0,91,AU,false
4225,0,706,AU,false
2955,0,598,AU,false
974,0,13,AU,false
2416,0,870,AU,false
3764,0,420,AU,false
10386,634,159,TW,false
1031,0,247,AU,false
1653,0,262,AU,false
2247,0,754,AU,false
1579,0,973,AU,false
3954,0,714,AU,false
2658,0,816,AU,false
1479,0,76,AU,false
965,0,112,AU,true
1507,0,442,AU,false
3044,0,396,AU,true
6044,0,551,AU,true
1858,0,904,AU,false
1187,0,216,AU,false
1248,0,971,CH,false
2406,0,505,AU,false
2769,0,864,AU,false
18135,280,878,GB,false
1996,402,910,ES,false
981,32,397,IL,false
1479,0,354,AU,false
2075,0,166,AU,false
4952,0,977,AU,false
2573,0,74,AU,false
1169,0,607,AU,false
2882,0,874,AU,false
4411,0,147,AU,false
3708,0,937,AU,false
2304,224,488,DK,false
2223,0,849,AU,false
2595,0,733,AU,false
1378,0,298,AU,false
1943,0,65,AU,false
1365,0,553,AU,false
1421,0,932,AU,false
1914,0,732,AU,false
4301,0,532,AU,false
3794,0,520,AU,false
906,0,99,AU,false
1037,0,201,AU,false
2416,0,942,GR,false
2155,0,95,AU,false
1456,0,331,AU,false
3158,0,436,AU,false
1566,0,314,MT,false
2529,360,46,GB,false
3577,0,57,AU,true
2923,0,675,NO,false
2482,0,317,AU,false
1819,0,960,AU,false
1819,0,381,AU,false
3002,0,610,AU,false
2856,0,171,AU,false
4765,0,757,AU,false
1329,0,848,AU,false
1751,0,304,AU,false
1992,0,143,AU,false
2079,0,984,AU,false
1957,0,419,AU,false
2498,0,112,AU,false
3702,0,364,AU,false
1531,0,912,AU,true
1957,0,61,AU,false
1824,0,949,AU,false
1499,0,484,NZ,false
4077,0,661,NZ,false
1899,0,212,NZ,false
1355,0,74,NZ,false
1349,0,503,NZ,false
2049,0,899,NZ,false
2399,0,553,NZ,false
4649,0,414,NZ,false
6599,0,905,NZ,false
2869,0,474,AU,false
11666,0,855,AU,false
1599,0,981,AU,false
7045,0,948,NZ,false
4680,0,188,NZ,false
2520,0,51,AU,false
1834,0,270,AU,false
1749,0,677,NZ,false
2299,0,432,NZ,false
3399,0,129,NZ,true
2949,0,570,NZ,false
4897,0,671,NZ,false
3195,0,619,AU,true
1636,0,726,AU,false
4205,0,221,AU,false
2482,0,669,AU,true
1592,0,724,GB,false
2521,0,743,GB,false
3771,0,613,GB,true
1955,0,951,AU,false
1361,0,570,US,false
3033,0,266,ES,false
1819,399,923,FI,false
1465,294,145,IL,false
1716,0,461,US,false
3249,0,454,AU,false
2397,0,490,AU,false
8579,0,229,AU,true
3065,0,940,AU,true
1498,0,808,AU,false
2065,177,887,RU,false
1442,0,582,AU,true
2198,0,85,AU,false
2818,0,379,AU,false
2224,0,436,AU,false
1260,0,888,AU,false
2430,0,944,AU,false
3196,264,953,LV,false
11020,0,616,AU,false
3547,1230,128,DE,false
944,0,898,AU,false
1650,0,912,AU,false
936,0,244,AU,false
3015,0,436,AU,false
2632,0,99,AU,false
1415,0,957,AU,false
1557,0,294,AU,false
1521,0,987,AU,false
1483,0,111,AU,false
1046,0,222,AU,false
1064,0,228,AU,false
1633,81,342,ZA,false
1365,0,452,AU,false
4082,0,519,AU,false
27347,5209,794,SG,false
1030,0,424,AU,false
1639,0,911,RU,false
2954,0,492,AU,false
3547,1230,161,DE,false
1013,0,635,AU,false
2596,0,623,AU,false
821,0,123,AU,false
18690,0,744,AU,false
4843,0,29,AU,false
6436,0,863,AU,false
3027,0,143,AU,false
1573,0,960,AU,false
3830,0,951,AU,false
2650,0,435,AU,false
1045,0,703,AU,true
2731,0,452,AU,false
2215,468,266,NO,false
2498,0,994,AU,false
5775,0,495,AU,false
20358,0,468,AU,false
2722,0,448,AU,false
2503,0,296,AU,false
1998,261,605,GB,false
2827,0,830,AU,false
2180,0,337,AU,false
15519,320,932,NZ,false
2467,0,685,AU,true
2845,0,631,AU,false
2596,0,823,AU,false
1476,0,967,DK,false
821,0,967,GR,false
1310,0,684,AU,false
4564,729,298,IL,false
1881,0,516,AU,false
1692,0,122,AU,false
3200,0,685,AU,false
2015,0,926,AU,false
1970,0,425,AU,false
1571,0,742,AU,false
6887,0,271,AU,false
2572,270,488,GB,false
1266,0,830,AU,false
1022,0,385,AU,false
1102,0,854,AU,false
1737,0,764,AU,false
8458,0,827,AU,false
1994,0,850,AU,false
1870,0,705,AU,false
2833,0,749,NO,false
1929,0,890,AU,false
1616,0,178,AU,false
1604,0,373,FR,false
2235,0,498,AU,false
5630,0,110,AU,false
1494,0,612,AU,false
9079,0,647,AU,false
2037,0,794,NZ,false
659,0,262,AU,false
1385,0,836,AU,false
1353,0,540,AU,false
2684,0,743,AU,false
1393,0,249,AU,false
1588,280,62,GB,false
3761,0,932,AU,false
8549,0,153,NZ,false
2149,0,521,NZ,false
3393,0,533,NZ,false
2299,0,441,NZ,true
1593,0,581,NZ,true
2799,0,85,NZ,false
1887,0,388,AU,false
8302,0,606,AU,true
19002,399,32,US,false
10999,0,156,AU,false
2649,0,685,NZ,false
1373,0,609,AU,false
949,0,410,AU,true
3849,0,321,NZ,false
1399,0,401,NZ,false
4999,0,745,NZ,false
2030,0,542,NZ,false
1949,0,606,NZ,false
2608,0,644,NZ,false
2372,0,791,NZ,false
1264,0,234,NZ,false
1720,0,333,NZ,false
2296,0,221,NZ,true
2600,0,206,AU,false
595,0,932,US,false
871,0,864,US,false
